X,Y,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Name,sector_name,Street_Address,City,County,State,Zip,PrimSource,source_desc,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
-17866469.0268,7428080.3592,35853,1,Sand Point,63560,"Sand Point Generating, LLC",Electric Utility,100 Power Plant Way,Sand Point,Aleutians East,Alaska,99661,petroleum,"Petroleum = 1.3 MW, Wind = 0.4 MW",Petroleum Liquids; Onshore Wind Turbine;,3.7,1.7,,,,,,,,,1.3,,0.4,,"EIA-860, EIA-860M and EIA-923",202406,-160.497222,55.339722
-9797261.7806,3633645.2722,35855,3,Barry,195,Alabama Power Co,Electric Utility,North Highway 43,Bucks,Mobile,Alabama,36512,natural gas,"Coal = 1118.5 MW, Natural Gas = 1981.2 MW",Conventional Steam Coal; Natural Gas Fired Combined Cycle; Natural Gas Steam Turbine,3343.5,3099.7,,,1118.5,,,,1981.2,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-88.0103,31.0069
-11841610.8331,3731442.1061,35857,9,Copper,5701,El Paso Electric Co,Electric Utility,651 Hawkins Blvd.,El Paso,El Paso,Texas,79915,natural gas,Natural Gas = 63 MW,Natural Gas Fired Combustion Turbine,86.9,63,,,,,,,63,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-106.375,31.7569
-9771747.3533,3842554.853,35858,10,Greene County,195,Alabama Power Co,Electric Utility,Highway 43,Demopolis,Greene,Alabama,36732,natural gas,Natural Gas = 1256.1 MW,Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine;,1288.4,1256.1,,,,,,,1256.1,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-87.7811,32.6017
-9624466.7689,3927763.9322,35870,26,E C Gaston,195,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034,1868,,,832,,,,1020,,16,,,,"EIA-860, EIA-860M and EIA-923",202406,-86.458056,33.244211
-10510541.4178,5473198.5499,35871,30,Madelia,29305,City of Madelia - (MN),Electric Utility,24 Abbot Ave. S.W.,City of Madelia,Watonwan,Minnesota,56062,petroleum,Petroleum = 10.6 MW,Petroleum Liquids,11.8,10.6,,,,,,,,,10.6,,,,"EIA-860, EIA-860M and EIA-923",202406,-94.4178,44.0501
-9779261.4189,4129132.411,35875,47,Colbert,18642,Tennessee Valley Authority,Electric Utility,900 Steam Plant Rd.,Tuscumbia,Colbert,Alabama,35674,natural gas,Natural Gas = 1026.2 MW,Natural Gas Fired Combustion Turbine,1169.6,1026.2,,,,,,,1026.2,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-87.8486,34.7439
-9362158.4188,4562953.1086,35879,54,J K Smith,5580,"East Kentucky Power Coop, Inc",Electric Utility,12145 Irvine Road,Winchester,Clark,Kentucky,40391,natural gas,Natural Gas = 784 MW,Natural Gas Fired Combustion Turbine,1055,784,,,,,,,784,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-84.1017,37.8833
-9786179.5913,3696291.2082,35881,56,Lowman Energy Center,189,PowerSouth Energy Cooperative,Electric Utility,Carson Road,Leroy,Washington,Alabama,36548,natural gas,Natural Gas = 658.9 MW,Natural Gas Fired Combined Cycle,732.7,658.9,,,,,,,658.9,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-87.910747,31.488019
-10948073.9935,4990943.0788,35882,59,Platte,40606,City of Grand Island - (NE),Electric Utility,1035 W Wildwood Drive,Grand Island,Hall,Nebraska,68801,coal,Coal = 100 MW,Conventional Steam Coal,109.8,100,,,100,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-98.348222,40.854765
-10944090.4255,4950715.5632,35883,60,Whelan Energy Center,8245,City of Hastings - (NE),Electric Utility,4520 East South St.,Hastings,Adams,Nebraska,68902,coal,Coal = 296 MW,Conventional Steam Coal,324.3,296,,,296,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-98.312437,40.580872
-14963276.5218,8032871.0819,35885,63,Gold Creek,213,Alaska Electric Light & Power Co.,Electric Utility,700 Capital Ave.,Juneau,Juneau,Alaska,99801,petroleum,"Hydroelectric = 1.6 MW, Petroleum = 8.1 MW",Conventional Hydroelectric; Petroleum Liquids;,9.7,9.7,,,,,1.6,,,,8.1,,,,"EIA-860, EIA-860M and EIA-923",202406,-134.4174,58.3107
-14971948.3101,8041967.5771,35886,64,Lemon Creek,213,Alaska Electric Light & Power Co.,Electric Utility,5601 Tonsgard Ct.,Juneau,Juneau,Alaska,99801,petroleum,Petroleum = 57.5 MW,Petroleum Liquids,61.7,57.5,,,,,,,,,57.5,,,,"EIA-860, EIA-860M and EIA-923",202406,-134.4953,58.3536
